tick,action,target_r,target_c,agent_r,agent_c,reason,chosen_cost,runner_up,margin,entropy,peak_r,peak_c,peak_belief,peak_evidence_ratio,case,agent,policy,seed,committed,findable,attribution,true_r,true_c,shadow_peak_r,shadow_peak_c
2,search,5,12,4,20,"following the evidence: peak (5, 12) at 0.083, traceability 12.84",-10.1434,search,11.0283,0.8639,5,12,0.082856,12.8436,3,belief,A_uniform,835894097,1,1,11.5734,6,13,5,12
3,search,5,12,4,19,"following the evidence: peak (5, 12) at 0.069, traceability 14.09",-6.1979,hold_position,7.2729,0.9002,5,12,0.068693,14.09,3,belief,A_uniform,835894097,1,1,11.2002,6,12,5,12
4,search,6,13,4,18,"following the evidence: peak (6, 13) at 0.051, traceability 10.46",1.0299,hold_position,0.0701,0.9349,6,13,0.050674,10.4644,3,belief,A_uniform,835894097,1,1,7.6267,6,13,5,13
5,hold_position,,,4,17,"too little to go on to commit: uncertainty 0.96, peak traceability 6.95",1.125,retreat,0.35,0.9629,6,14,0.025522,6.9493,3,belief,A_uniform,835894097,0,1,,5,13,5,13
6,call_reinforcements,6,13,4,17,"following the evidence: peak (6, 13) at 0.192, traceability 283.81",-3.3477,flank,3.9756,0.6839,6,13,0.192375,283.8136,3,belief,A_uniform,835894097,1,1,15.44,5,14,5,13
7,flank,4,16,4,17,"following the evidence: peak (5, 14) at 0.041, traceability 81.94",0.6143,hold_position,0.4107,0.9371,5,14,0.04111,81.9351,3,belief,A_uniform,835894097,1,1,7.0142,6,14,5,13
8,search,6,15,4,16,"following the evidence: peak (6, 15) at 0.016, traceability 5.07",-0.9809,flank,0.9942,0.9679,6,15,0.016326,5.0748,3,belief,A_uniform,835894097,1,1,2.6041,6,15,5,13
9,hold_position,,,4,15,"too little to go on to commit: uncertainty 0.76, peak traceability 58.57",1.0,retreat,0.35,0.7573,6,16,0.116779,58.5701,3,belief,A_uniform,835894097,0,1,,6,16,5,13
10,flank,4,16,4,15,"following the evidence: peak (6, 16) at 0.128, traceability 105.80",0.6005,hold_position,0.3995,0.556,6,16,0.128379,105.8046,3,belief,A_uniform,835894097,1,0,7.6272,7,16,5,13
11,flank,4,16,4,16,"acting on weakly supported belief: traceability 10098.67, 0% unaccounted for",0.0006,hold_position,1.0244,0.5468,6,16,0.144618,91.4175,3,belief,A_uniform,835894097,1,0,7.5873,8,16,5,13
12,flank,4,16,4,16,"acting on weakly supported belief: traceability 8430.24, 0% unaccounted for",0.0007,hold_position,1.0493,0.5489,6,16,0.13734,77.0353,3,belief,A_uniform,835894097,1,0,7.5356,9,16,5,13
13,search,10,15,4,16,"following the evidence: peak (8, 16) at 0.179, traceability 160.71",-1.9084,flank,1.9227,0.4578,8,16,0.178501,160.708,3,belief,A_uniform,835894097,1,1,0.0161,10,16,5,13
14,search,10,15,4,15,"following the evidence: peak (10, 16) at 0.166, traceability 42.32",-18.287,search,3.1327,0.5157,10,16,0.165838,42.3187,3,belief,A_uniform,835894097,1,1,0.0282,10,15,5,13
15,search,10,15,5,15,"following the evidence: peak (10, 16) at 0.208, traceability 64.21",-16.1501,search,3.2946,0.5279,10,16,0.208456,64.206,3,belief,A_uniform,835894097,1,1,0.042,10,14,5,13
16,search,10,15,6,15,"following the evidence: peak (10, 16) at 0.221, traceability 70.85",-17.1252,search,3.3177,0.5145,10,16,0.220834,70.8521,3,belief,A_uniform,835894097,1,1,0.0581,10,15,5,13
17,search,10,15,6,16,"following the evidence: peak (10, 15) at 0.169, traceability 56.62",-20.868,hold_position,21.968,0.5896,10,15,0.168943,56.6245,3,belief,A_uniform,835894097,1,1,0.076,10,14,5,13
18,search,10,15,7,16,"following the evidence: peak (10, 14) at 0.172, traceability 27.79",-26.1199,search,5.9657,0.6005,10,14,0.171866,27.7919,3,belief,A_uniform,835894097,1,1,0.0956,10,15,5,13
19,search,10,14,8,16,"following the evidence: peak (10, 14) at 0.226, traceability 39.05",-19.4112,search,4.3826,0.6262,10,14,0.225917,39.0464,3,belief,A_uniform,835894097,1,1,0.0269,10,14,5,13
20,search,10,14,9,16,"following the evidence: peak (10, 14) at 0.196, traceability 36.51",-27.8816,search,13.017,0.6197,10,14,0.196038,36.5109,3,belief,A_uniform,835894097,1,1,0.0341,9,14,5,13
21,search,8,14,10,16,"following the evidence: peak (8, 14) at 0.085, traceability 20.41",-0.7172,hold_position,1.9172,0.8185,8,14,0.08525,20.4054,3,belief,A_uniform,835894097,1,1,0.0028,8,14,5,13
22,hold_position,,,10,15,"too little to go on to commit: uncertainty 0.50, peak traceability 207.25",1.0,retreat,0.35,0.4951,9,14,0.254259,207.246,3,belief,A_uniform,835894097,0,1,,8,13,9,16
23,flank,10,15,10,15,"acting on weakly supported belief: traceability 4993.71, 0% unaccounted for",0.0012,hold_position,0.9988,0.4788,9,14,0.190929,271.433,3,belief,A_uniform,835894097,1,1,9.5479,8,12,9,17
24,flank,10,15,10,15,"acting on weakly supported belief: traceability 22238.58, 0% unaccounted for",0.0003,hold_position,1.0247,0.5456,9,13,0.146368,3371.8145,3,belief,A_uniform,835894097,1,1,10.5367,8,11,9,17
25,flank,10,15,10,15,"acting on weakly supported belief: traceability 60026.99, 0% unaccounted for",0.0001,hold_position,0.9999,0.495,9,14,0.183309,794.5594,3,belief,A_uniform,835894097,1,1,11.9359,8,10,9,17
26,flank,10,15,10,15,"acting on weakly supported belief: traceability 119730.64, 0% unaccounted for",0.0001,hold_position,1.0249,0.5442,9,13,0.137602,11129.0537,3,belief,A_uniform,835894097,1,0,12.0394,7,10,9,17
27,search,8,14,10,15,"following the evidence: peak (8, 14) at 0.175, traceability 1071.12",-6.1741,flank,6.1741,0.5853,8,14,0.175306,1071.1159,3,belief,A_uniform,835894097,1,0,0.478,6,10,9,17
28,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.77, peak traceability 5350.11",1.075,retreat,0.35,0.7701,8,14,0.091739,5350.1061,3,belief,A_uniform,835894097,0,0,,5,10,9,17
29,flank,10,15,10,14,"following the evidence: peak (9, 14) at 0.028, traceability 16342.85",0.6001,hold_position,0.4999,0.9059,9,14,0.027867,16342.8509,3,belief,A_uniform,835894097,1,0,11.4924,4,10,9,17
30,flank,10,15,10,15,"acting on weakly supported belief: traceability 78090.40, 0% unaccounted for",0.0001,hold_position,1.1249,0.9166,10,21,0.024239,5.6786,3,belief,A_uniform,835894097,1,0,11.2235,4,9,9,17
31,flank,10,15,10,15,"acting on weakly supported belief: traceability 57704.11, 0% unaccounted for",0.0001,hold_position,1.1499,0.9153,10,21,0.022464,5.3666,3,belief,A_uniform,835894097,1,0,10.9624,4,8,9,17
32,flank,10,15,10,15,"acting on weakly supported belief: traceability 31285.55, 0% unaccounted for",0.0002,hold_position,1.1748,0.9164,10,21,0.020698,5.031,3,belief,A_uniform,835894097,1,0,10.7138,4,7,9,17
33,search,7,9,10,15,"following the evidence: peak (7, 9) at 0.020, traceability 3.46",-1.3731,hold_position,2.5731,0.9178,7,9,0.019712,3.4599,3,belief,A_uniform,835894097,1,0,0.0021,4,6,9,17
34,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.92, peak traceability 2.85",1.225,retreat,0.35,0.9169,11,21,0.019704,2.8467,3,belief,A_uniform,835894097,0,0,,3,6,9,17
35,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.92, peak traceability 2.89",1.25,retreat,0.35,0.917,11,21,0.019736,2.8936,3,belief,A_uniform,835894097,0,0,,2,6,9,17
36,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.92, peak traceability 2.93",1.275,retreat,0.35,0.9178,11,21,0.019712,2.9316,3,belief,A_uniform,835894097,0,0,,2,5,9,17
37,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.92, peak traceability 2.97",1.3,retreat,0.35,0.9186,11,21,0.019671,2.966,3,belief,A_uniform,835894097,0,0,,2,4,9,17
38,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.92, peak traceability 3.00",1.325,retreat,0.35,0.9192,11,21,0.019615,2.9971,3,belief,A_uniform,835894097,0,0,,2,3,9,17
39,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.92, peak traceability 3.02",1.35,retreat,0.35,0.9198,11,21,0.019543,3.0248,3,belief,A_uniform,835894097,0,0,,2,2,9,17
40,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.92, peak traceability 3.05",1.375,retreat,0.35,0.9202,11,21,0.019455,3.0489,3,belief,A_uniform,835894097,0,0,,3,2,9,17
41,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.92, peak traceability 3.07",1.4,retreat,0.35,0.9206,11,21,0.019352,3.0696,3,belief,A_uniform,835894097,0,0,,4,2,9,17
42,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.92, peak traceability 3.09",1.425,retreat,0.35,0.9209,11,21,0.019234,3.0871,3,belief,A_uniform,835894097,0,0,,4,3,9,17
43,hold_position,,,10,14,"too little to go on to commit: uncertainty 0.92, peak traceability 3.10",1.45,retreat,0.35,0.9212,11,21,0.019102,3.1016,3,belief,A_uniform,835894097,0,0,,4,4,9,17
44,search,11,21,10,14,"following the evidence: peak (11, 21) at 0.019, traceability 3.11",1.4479,hold_position,0.0271,0.9214,11,21,0.018959,3.1132,3,belief,A_uniform,835894097,1,0,0.7753,5,4,9,17
45,search,11,21,10,15,"following the evidence: peak (11, 21) at 0.019, traceability 3.16",0.6114,hold_position,0.8886,0.9218,11,21,0.019028,3.1574,3,belief,A_uniform,835894097,1,0,0.8343,6,4,9,17
46,search,11,21,10,16,"following the evidence: peak (11, 21) at 0.019, traceability 3.21",0.3644,hold_position,1.1606,0.919,11,21,0.019077,3.2111,3,belief,A_uniform,835894097,1,0,0.8932,6,3,9,17
47,search,11,21,9,16,"following the evidence: peak (11, 21) at 0.019, traceability 3.29",1.0247,hold_position,0.5253,0.9164,11,21,0.019358,3.2942,3,belief,A_uniform,835894097,1,0,0.9518,6,2,9,17
48,search,11,21,9,17,"following the evidence: peak (11, 21) at 0.018, traceability 3.28",1.0668,hold_position,0.5082,0.9135,11,21,0.017672,3.2776,3,belief,A_uniform,835894097,1,0,1.0102,6,1,9,17
49,hold_position,,,9,18,"too little to go on to commit: uncertainty 0.91, peak traceability 2.97",1.6,retreat,0.35,0.9126,12,21,0.015536,2.9667,3,belief,A_uniform,835894097,0,0,,6,2,9,17
50,search,12,21,9,18,"following the evidence: peak (12, 21) at 0.015, traceability 2.94",1.2508,hold_position,0.3742,0.9127,12,21,0.014528,2.9427,3,belief,A_uniform,835894097,1,0,0.7443,6,3,9,17
51,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.26",1.65,retreat,0.35,0.9112,4,9,0.012897,1.258,3,belief,A_uniform,835894097,0,0,,6,4,9,17
52,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.26",1.675,retreat,0.35,0.9099,4,9,0.0129,1.2631,3,belief,A_uniform,835894097,0,0,,5,4,9,17
53,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.26",1.7,retreat,0.35,0.9096,4,9,0.012844,1.2638,3,belief,A_uniform,835894097,0,0,,6,4,9,17
54,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.26",1.725,retreat,0.35,0.9096,4,9,0.012774,1.2631,3,belief,A_uniform,835894097,0,0,,5,4,9,17
55,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.26",1.75,retreat,0.35,0.9096,4,9,0.012697,1.2617,3,belief,A_uniform,835894097,0,0,,6,4,9,17
56,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.26",1.775,retreat,0.35,0.9096,4,9,0.012618,1.2598,3,belief,A_uniform,835894097,0,0,,5,4,9,17
57,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.26",1.8,retreat,0.35,0.9096,4,9,0.012538,1.2575,3,belief,A_uniform,835894097,0,0,,4,4,9,17
58,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.13",1.825,retreat,0.35,0.9097,3,9,0.012507,1.1266,3,belief,A_uniform,835894097,0,0,,4,5,9,17
59,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.13",1.85,retreat,0.35,0.9098,3,9,0.012486,1.1286,3,belief,A_uniform,835894097,0,0,,4,6,9,17
60,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.13",1.875,retreat,0.35,0.9098,3,9,0.012461,1.1302,3,belief,A_uniform,835894097,0,0,,4,7,9,17
61,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.13",1.9,retreat,0.35,0.9099,3,9,0.012435,1.1316,3,belief,A_uniform,835894097,0,0,,4,8,9,17
62,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.13",1.925,retreat,0.35,0.9099,3,9,0.012407,1.1327,3,belief,A_uniform,835894097,0,0,,5,8,9,17
63,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.13",1.95,retreat,0.35,0.91,3,9,0.012377,1.1336,3,belief,A_uniform,835894097,0,0,,6,8,9,17
64,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.13",1.975,retreat,0.35,0.9101,3,9,0.012346,1.1344,3,belief,A_uniform,835894097,0,0,,5,8,9,17
65,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.06",2.0,resume_post,0.2086,0.9101,2,9,0.012333,1.0584,3,belief,A_uniform,835894097,0,0,,5,9,9,17
66,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.06",2.025,resume_post,0.2824,0.9102,2,9,0.012334,1.0612,3,belief,A_uniform,835894097,0,0,,6,9,9,17
67,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.06",2.05,resume_post,0.3491,0.9103,2,9,0.012334,1.0638,3,belief,A_uniform,835894097,0,0,,7,9,9,17
68,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.07",2.075,retreat,0.35,0.9103,2,9,0.012331,1.0662,3,belief,A_uniform,835894097,0,0,,8,9,9,17
69,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.07",2.1,retreat,0.35,0.9104,2,9,0.012326,1.0685,3,belief,A_uniform,835894097,0,0,,9,9,9,17
70,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.07",2.125,retreat,0.35,0.9104,2,9,0.01232,1.0706,3,belief,A_uniform,835894097,0,0,,9,10,9,17
71,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.07",2.15,retreat,0.35,0.9105,2,9,0.012312,1.0725,3,belief,A_uniform,835894097,0,0,,10,10,9,17
72,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.07",2.175,retreat,0.35,0.9105,2,9,0.012303,1.0743,3,belief,A_uniform,835894097,0,0,,10,11,9,17
73,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 1.08",2.2,retreat,0.35,0.9105,2,9,0.012292,1.0761,3,belief,A_uniform,835894097,0,0,,10,12,9,17
74,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.91, peak traceability 112.65",1.0,retreat,0.35,0.9135,12,21,0.033147,112.6518,3,belief,A_uniform,835894097,0,1,,10,13,9,17
75,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.75, peak traceability 487.14",1.0,retreat,0.35,0.7503,12,21,0.140825,487.14,3,belief,A_uniform,835894097,0,1,,10,14,9,17
76,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.54, peak traceability 644.21",1.0,retreat,0.35,0.5422,12,21,0.183106,644.2115,3,belief,A_uniform,835894097,0,1,,10,15,9,17
77,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.52, peak traceability 588.73",1.0,retreat,0.35,0.5175,12,21,0.164638,588.7257,3,belief,A_uniform,835894097,0,1,,10,16,9,17
78,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.53, peak traceability 526.32",1.0,retreat,0.35,0.531,12,21,0.144902,526.3173,3,belief,A_uniform,835894097,0,1,,9,16,9,17
79,hold_position,,,9,19,"too little to go on to commit: uncertainty 0.54, peak traceability 1296.05",1.0,retreat,0.35,0.5439,11,21,0.131451,1296.0464,3,belief,A_uniform,835894097,0,1,,8,16,9,17
0,search,9,18,8,12,"following the evidence: peak (9, 18) at 0.053, traceability 10.58",-18.6938,search,2.6437,0.8454,9,18,0.05262,10.5767,4,belief,A_uniform,11117006,1,1,10.5767,10,18,9,18
1,call_reinforcements,10,17,9,12,"following the evidence: peak (10, 17) at 0.401, traceability 159.82",-20.0068,hold_position,21.0068,0.5451,10,17,0.401023,159.8202,4,belief,A_uniform,11117006,1,1,51.6497,10,17,10,17
2,hold_position,,,9,12,"too little to go on to commit: uncertainty 0.45, peak traceability 209.76",1.0,retreat,0.35,0.4465,10,17,0.3758,209.7614,4,belief,A_uniform,11117006,0,1,,10,16,10,17
3,hold_position,,,9,12,"too little to go on to commit: uncertainty 0.47, peak traceability 199.05",1.0,retreat,0.35,0.4667,10,17,0.295958,199.0465,4,belief,A_uniform,11117006,0,1,,10,15,10,16
4,hold_position,,,9,12,"too little to go on to commit: uncertainty 0.50, peak traceability 176.05",1.0,retreat,0.35,0.4973,10,17,0.231997,176.0494,4,belief,A_uniform,11117006,0,1,,10,14,10,16
5,hold_position,,,9,12,"too little to go on to commit: uncertainty 0.52, peak traceability 324.93",1.0,retreat,0.35,0.5233,10,16,0.209934,324.9343,4,belief,A_uniform,11117006,0,1,,9,14,10,16
6,hold_position,,,9,12,"too little to go on to commit: uncertainty 0.54, peak traceability 306.24",1.0,retreat,0.35,0.5442,10,16,0.18673,306.2441,4,belief,A_uniform,11117006,0,1,,9,13,10,16
7,hold_position,,,9,12,"too little to go on to commit: uncertainty 0.59, peak traceability 259.22",1.025,retreat,0.35,0.5899,10,16,0.150475,259.2176,4,belief,A_uniform,11117006,0,1,,8,13,10,16
8,hold_position,,,9,12,"too little to go on to commit: uncertainty 0.56, peak traceability 287.35",1.0,retreat,0.35,0.5644,10,16,0.159724,287.3521,4,belief,A_uniform,11117006,0,1,,8,12,10,16
0,search,1,11,11,3,"following the evidence: peak (1, 11) at 0.059, traceability 11.79",-11.443,hold_position,10.0065,0.8494,1,11,0.058658,11.7903,5,belief,A_uniform,345867229,1,1,11.7903,1,12,1,11
1,search,1,11,10,3,"following the evidence: peak (1, 11) at 0.059, traceability 10.63",-13.1257,hold_position,14.1507,0.8336,1,11,0.058877,10.6332,5,belief,A_uniform,345867229,1,1,11.2896,2,12,1,11
2,search,1,11,10,2,"following the evidence: peak (1, 11) at 0.057, traceability 9.78",-14.2988,hold_position,15.3488,0.8235,1,11,0.056862,9.7812,5,belief,A_uniform,345867229,1,1,10.753,2,11,1,11
3,search,1,11,9,2,"following the evidence: peak (1, 11) at 0.055, traceability 9.13",-15.217,hold_position,16.292,0.8186,1,11,0.05458,9.1257,5,belief,A_uniform,345867229,1,1,10.25,2,10,1,11
4,search,1,11,8,2,"following the evidence: peak (1, 11) at 0.053, traceability 8.57",-16.0519,search,16.495,0.8149,1,11,0.052542,8.5746,5,belief,A_uniform,345867229,1,1,9.7984,3,10,1,11
5,search,1,11,7,2,"following the evidence: peak (1, 11) at 0.050, traceability 8.19",-16.6514,search,15.6666,0.8154,1,11,0.050394,8.1922,5,belief,A_uniform,345867229,1,1,9.3963,3,9,1,11
6,search,1,11,6,2,"following the evidence: peak (1, 11) at 0.048, traceability 7.88",-17.1921,search,14.8196,0.8173,1,11,0.048449,7.8752,5,belief,A_uniform,345867229,1,1,9.0377,4,9,1,11
7,search,3,9,6,3,"following the evidence: peak (3, 9) at 0.091, traceability 11.82",-26.4914,search,4.9471,0.677,3,9,0.091245,11.8186,5,belief,A_uniform,345867229,1,1,14.8579,5,9,3,9
8,search,3,9,6,4,"following the evidence: peak (3, 9) at 0.082, traceability 9.77",-31.1451,search,9.0991,0.681,3,9,0.081781,9.7721,5,belief,A_uniform,345867229,1,1,13.1325,6,9,3,9
9,search,3,9,5,4,"following the evidence: peak (3, 9) at 0.075, traceability 8.62",-31.7018,search,9.1346,0.6846,3,9,0.075281,8.6178,5,belief,A_uniform,345867229,1,1,11.979,7,9,3,9
10,search,2,9,4,4,"following the evidence: peak (2, 9) at 0.083, traceability 8.75",-23.7881,search,14.4459,0.6979,2,9,0.083447,8.7488,5,belief,A_uniform,345867229,1,1,10.0372,8,9,3,9
11,search,2,9,4,5,"following the evidence: peak (2, 9) at 0.085, traceability 9.71",-28.0054,hold_position,29.1054,0.7067,2,9,0.08513,9.715,5,belief,A_uniform,345867229,1,1,9.5473,8,10,3,9
12,search,2,9,4,6,"following the evidence: peak (2, 9) at 0.089, traceability 11.89",-25.7229,hold_position,26.8479,0.7166,2,9,0.089065,11.8857,5,belief,A_uniform,345867229,1,1,9.2078,8,9,3,9
13,search,2,8,4,7,"following the evidence: peak (2, 8) at 0.095, traceability 18.15",-13.2759,hold_position,14.4259,0.7675,2,8,0.095312,18.1483,5,belief,A_uniform,345867229,1,1,8.4177,8,8,3,9
14,hold_position,,,4,8,"too little to go on to commit: uncertainty 0.62, peak traceability 43.56",1.0,retreat,0.35,0.6235,1,12,0.120878,43.556,5,belief,A_uniform,345867229,0,1,,9,8,3,9
15,flank,4,7,4,8,"following the evidence: peak (2, 8) at 0.099, traceability 1074.98",0.6072,hold_position,0.3928,0.6114,2,8,0.099292,1074.976,5,belief,A_uniform,345867229,1,0,4.7788,10,8,3,9
16,flank,4,7,4,7,"acting on weakly supported belief: traceability 1396.48, 0% unaccounted for",0.0043,hold_position,1.0207,0.6028,2,8,0.12928,1847.4581,5,belief,A_uniform,345867229,1,0,4.837,10,9,3,9
17,flank,4,7,4,7,"acting on weakly supported belief: traceability 1813.83, 0% unaccounted for",0.0033,hold_position,1.0467,0.5991,2,8,0.127124,2434.6704,5,belief,A_uniform,345867229,1,0,4.8744,10,10,3,9
18,flank,4,7,4,7,"acting on weakly supported belief: traceability 2114.87, 0% unaccounted for",0.0028,hold_position,1.0722,0.6062,2,8,0.114844,2953.8176,5,belief,A_uniform,345867229,1,0,4.8949,10,11,3,9
19,flank,4,7,4,7,"acting on weakly supported belief: traceability 2334.34, 0% unaccounted for",0.0026,hold_position,1.0974,0.6147,2,8,0.100288,3465.4575,5,belief,A_uniform,345867229,1,0,4.9023,10,12,3,9
20,flank,4,7,4,7,"acting on weakly supported belief: traceability 2537.19, 0% unaccounted for",0.0024,hold_position,1.1226,0.6217,2,8,0.085686,3978.1,5,belief,A_uniform,345867229,1,0,4.8998,10,13,2,9
21,flank,4,7,4,7,"acting on weakly supported belief: traceability 2716.75, 0% unaccounted for",0.0022,hold_position,1.1478,0.6265,9,9,0.078083,45.0909,5,belief,A_uniform,345867229,1,0,4.8896,10,14,2,9
22,flank,4,7,4,7,"acting on weakly supported belief: traceability 2849.21, 0% unaccounted for",0.0021,hold_position,1.1729,0.6295,9,9,0.082519,45.2337,5,belief,A_uniform,345867229,1,0,4.8735,10,15,2,9
23,flank,4,7,4,7,"acting on weakly supported belief: traceability 2906.36, 0% unaccounted for",0.0021,hold_position,1.1979,0.631,9,9,0.086159,45.3489,5,belief,A_uniform,345867229,1,0,4.8526,10,16,2,9
24,flank,4,7,4,7,"acting on weakly supported belief: traceability 2852.77, 0% unaccounted for",0.0021,hold_position,1.2229,0.6315,9,9,0.089007,45.352,5,belief,A_uniform,345867229,1,0,4.8279,9,16,2,9
25,flank,4,7,4,7,"acting on weakly supported belief: traceability 2663.56, 0% unaccounted for",0.0023,hold_position,1.2477,0.6313,9,9,0.091108,45.2131,5,belief,A_uniform,345867229,1,0,4.8002,8,16,2,9
26,flank,4,7,4,7,"acting on weakly supported belief: traceability 2350.58, 0% unaccounted for",0.0026,search,1.0391,0.6308,9,9,0.092533,44.9322,5,belief,A_uniform,345867229,1,0,4.7702,7,16,2,9
27,flank,4,7,4,7,"acting on weakly supported belief: traceability 1967.13, 0% unaccounted for",0.0031,search,0.1354,0.6303,9,9,0.09337,44.5253,5,belief,A_uniform,345867229,1,0,4.7382,6,16,2,9
28,search,9,9,4,7,"following the evidence: peak (9, 9) at 0.094, traceability 44.01",-0.7378,flank,0.7416,0.63,9,9,0.093707,44.0148,5,belief,A_uniform,345867229,1,0,1.3717,6,15,2,9
29,search,10,10,4,8,"following the evidence: peak (10, 10) at 0.085, traceability 29.53",-8.5026,hold_position,9.8526,0.6572,10,10,0.085346,29.5266,5,belief,A_uniform,345867229,1,0,0.7883,5,15,2,9
30,search,10,11,5,8,"following the evidence: peak (10, 11) at 0.079, traceability 18.35",-7.1466,hold_position,8.5216,0.6351,10,11,0.078873,18.3525,5,belief,A_uniform,345867229,1,0,0.5104,4,15,2,9
31,search,1,14,6,8,"following the evidence: peak (1, 14) at 0.098, traceability 14.15",-8.0038,hold_position,9.4038,0.6135,1,14,0.098268,14.1454,5,belief,A_uniform,345867229,1,0,1.1413,4,16,2,9
32,search,1,14,5,8,"following the evidence: peak (1, 14) at 0.099, traceability 14.69",-12.9554,hold_position,14.3804,0.6055,1,14,0.099169,14.6898,5,belief,A_uniform,345867229,1,0,1.2207,4,17,2,9
33,search,1,14,4,8,"following the evidence: peak (1, 14) at 0.101, traceability 15.34",-13.8544,hold_position,15.3044,0.6064,1,14,0.100952,15.34,5,belief,A_uniform,345867229,1,0,1.2988,4,18,2,9
34,search,1,14,3,8,"following the evidence: peak (1, 14) at 0.107, traceability 18.18",-10.3789,hold_position,11.8539,0.6102,1,14,0.107211,18.1822,5,belief,A_uniform,345867229,1,0,1.3757,4,19,2,9
35,search,9,13,2,8,"following the evidence: peak (9, 13) at 0.086, traceability 8.81",-8.4116,search,3.9767,0.6429,9,13,0.086066,8.8128,5,belief,A_uniform,345867229,1,0,0.2175,4,20,2,9
36,search,9,13,3,8,"following the evidence: peak (9, 13) at 0.086, traceability 8.95",-13.0065,search,7.7838,0.6461,9,13,0.085534,8.9463,5,belief,A_uniform,345867229,1,0,0.2341,4,21,2,9
37,search,9,13,4,8,"following the evidence: peak (9, 13) at 0.086, traceability 9.19",-13.8294,search,7.6027,0.6483,9,13,0.086285,9.1927,5,belief,A_uniform,345867229,1,0,0.251,4,22,2,9
38,search,9,13,5,8,"following the evidence: peak (9, 13) at 0.090, traceability 9.69",-15.2923,search,7.4188,0.6482,9,13,0.089596,9.6938,5,belief,A_uniform,345867229,1,0,0.2682,4,21,2,9
39,search,9,13,6,8,"following the evidence: peak (9, 13) at 0.091, traceability 10.59",-16.9898,search,7.2024,0.6527,9,13,0.090681,10.5883,5,belief,A_uniform,345867229,1,0,0.2855,4,20,2,9
40,search,10,14,7,8,"following the evidence: peak (10, 14) at 0.088, traceability 9.94",-6.4412,search,2.9717,0.6704,10,14,0.087942,9.9371,5,belief,A_uniform,345867229,1,0,0.1538,4,19,2,9
41,search,10,15,8,8,"following the evidence: peak (1, 14) at 0.092, traceability 58.44",0.0792,hold_position,1.5708,0.6887,1,14,0.091819,58.4409,5,belief,A_uniform,345867229,1,0,0.0783,4,18,2,9
42,search,10,15,9,8,"following the evidence: peak (1, 14) at 0.105, traceability 68.58",-1.8888,hold_position,3.5638,0.6888,1,14,0.105445,68.5844,5,belief,A_uniform,345867229,1,0,0.0854,4,17,2,9
43,hold_position,,,10,8,"too little to go on to commit: uncertainty 0.69, peak traceability 73.37",1.7,retreat,0.35,0.6851,1,14,0.110219,73.3673,5,belief,A_uniform,345867229,0,0,,4,16,2,9
44,hold_position,,,10,8,"too little to go on to commit: uncertainty 0.69, peak traceability 74.44",1.725,retreat,0.35,0.6857,1,14,0.108892,74.4384,5,belief,A_uniform,345867229,0,0,,4,15,2,9
